solution,APFD,APFDC,APSD,APOD,APOTD,APSBD,WFC,average
55,0.8085106382978723,0.695011573619676,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3617021276595745,0.97029638136686
56,0.8634751773049645,0.7586844558056077,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.30851063829787234,0.97029638136686
57,0.8457446808510638,0.7412025707378633,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.32978723404255317,0.97029638136686
58,0.8351063829787233,0.7308454453642269,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3617021276595745,0.97029638136686
59,0.803191489361702,0.6893254583927282,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.46808510638297873,0.97029638136686
60,0.8723404255319148,0.7727294354784638,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2765957446808511,0.97029638136686
61,0.8776595744680851,0.7761621402156909,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.24468085106382978,0.97029638136686
62,0.8794326241134751,0.7827784183780712,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2553191489361702,0.97029638136686
63,0.8546099290780141,0.7515184569627275,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.39361702127659576,0.97029638136686
64,0.8563829787234042,0.7484863495590198,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3191489361702128,0.97029638136686
65,0.8563829787234042,0.7581178113216448,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.4787234042553192,0.97029638136686
66,0.9042553191489361,0.8165946819350879,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.1702127659574468,0.97029638136686
67,0.852836879432624,0.7523719982867779,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2978723404255319,0.97029638136686
68,0.8191489361702127,0.710472538442884,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5,0.97029638136686
69,0.8492907801418439,0.742108903019255,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.30851063829787234,0.97029638136686
70,0.8723404255319148,0.7738599374715951,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2872340425531915,0.97029638136686
71,0.852836879432624,0.7503738585318669,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2872340425531915,0.97029638136686
72,0.852836879432624,0.7416385101430534,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.43617021276595747,0.97029638136686
73,0.8404255319148936,0.7283343406833533,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2978723404255319,0.97029638136686
74,0.8297872340425532,0.7237786062767196,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5851063829787234,0.97029638136686
75,0.8581560283687942,0.759946511087232,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2765957446808511,0.97029638136686
76,0.8794326241134751,0.7827784183780712,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2553191489361702,0.97029638136686
77,0.8687943262411346,0.7673551383009988,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
78,0.8067375886524821,0.6950534994144122,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5106382978723404,0.97029638136686
79,0.8723404255319148,0.7856936747951008,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.23404255319148937,0.97029638136686
80,0.8368794326241134,0.734923880044081,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5,0.97029638136686
81,0.8634751773049645,0.7610313713192343,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
82,0.7978723404255319,0.6855611036549437,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.4787234042553192,0.97029638136686
83,0.8102836879432623,0.7015475142042815,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5531914893617021,0.97029638136686
84,0.8882978723404255,0.7911665662547922,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.24468085106382978,0.97029638136686
85,0.852836879432624,0.7468706312150548,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3191489361702128,0.97029638136686
86,0.8617021276595744,0.7626484629551271,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2553191489361702,0.97029638136686
87,0.875886524822695,0.7699717845056158,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
88,0.8067375886524821,0.6927878504701586,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.4148936170212766,0.97029638136686
89,0.7836879432624113,0.6675478757839679,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5638297872340425,0.97029638136686
